gr17      2760,0    2760,0    0,0       0,29      
gr21      7788,0    7788,0    0,0       3,52      
gr24      1806,0    1806,0    0,0       8,44      
fri26     1283,0    1283,0    0,0       16,16     
bays29    2916,0    2916,0    0,0       25,44     
gr48      7282,0    7282,0    0,0       281,68    
eil51     628,51    628,51    0,0       52,28     
berlin52  11087,21  11087,21  0,0       68,29     
eil76     801,91    801,91    0,0       261,35    
eil101    945,3184  945,279   0,0042    2773,43   
